,receipt_id,company_id,matched_transaction_id,feature_transaction_id,scores
10211,"40,155",40000,"40,168","40,169",0.64489317
9697,"40,004",40000,"40,550","40,550",0.64489317
3190,"20,075",20000,"20,534","20,534",0.64489317
10490,"40,246",40000,"40,098","40,098",0.64489317
10699,"50,013",50000,"50,285","50,285",0.64489317
4725,"20,219",20000,"20,519","20,519",0.64489317
9013,"30,340",30000,"31,277","31,277",0.6395004
5073,"30,031",30000,"31,340","31,340",0.6392759
11009,"50,065",50000,"50,311","50,311",0.6392759
861,"10,086",10000,"10,670","10,670",0.6351586
5407,"30,057",30000,"31,250","31,250",0.6351586
2821,"20,042",20000,"20,252","20,252",0.6254054
170,"10,011",10000,"10,659","10,659",0.6242845
11318,"50,120",50000,"50,044","50,043",0.6242845
11300,"50,118",50000,"50,045","50,043",0.6242845
11975,"50,221",50000,"50,034","50,034",0.6242845
8014,"30,261",30000,"31,393","31,393",0.6153322
3264,"20,081",20000,"20,569","20,569",0.6152088
3679,"20,125",20000,"20,399","20,399",0.6152088
403,"10,034",10000,"10,556","10,557",0.6151059
10347,"40,196",40000,"40,297","40,297",0.6151059
11436,"50,129",50000,"50,235","50,235",0.6151059
10478,"40,242",40000,"40,292","40,292",0.6151059
10476,"40,241",40000,"40,380","40,380",0.6151059
11458,"50,135",50000,"50,223","50,223",0.6151059
10444,"40,223",40000,"40,585","40,584",0.6151059
10452,"40,226",40000,"40,166","40,168",0.6151059
402,"10,034",10000,"10,556","10,556",0.6151059
10371,"40,204",40000,"40,332","40,332",0.6151059
11528,"50,148",50000,"50,084","50,084",0.6151059
10398,"40,213",40000,"40,167","40,168",0.6151059
971,"10,096",10000,"10,131","10,131",0.6151059
11576,"50,157",50000,"50,263","50,263",0.6151059
11550,"50,152",50000,"50,195","50,195",0.6151059
10468,"40,239",40000,"40,045","40,042",0.6151059
10366,"40,203",40000,"40,093","40,093",0.6151059
2493,"20,013",20000,"20,335","20,335",0.6151059
10454,"40,229",40000,"40,549","40,549",0.6151059
10453,"40,226",40000,"40,166","40,169",0.6151059
11753,"50,184",50000,"50,175","50,175",0.6151059
11494,"50,142",50000,"50,248","50,248",0.6151059
10966,"50,058",50000,"50,074","50,074",0.6151059
1084,"10,105",10000,"10,389","10,388",0.6151059
10866,"50,042",50000,"50,147","50,147",0.6151059
1417,"10,132",10000,"10,339","10,340",0.6151059
11074,"50,077",50000,"50,231","50,231",0.6151059
11061,"50,073",50000,"50,080","50,080",0.6151059
1456,"10,135",10000,"10,313","10,313",0.6151059
1457,"10,135",10000,"10,313","10,314",0.6151059
1467,"10,136",10000,"10,315","10,315",0.6151059
1468,"10,136",10000,"10,315","10,316",0.6151059
10811,"50,032",50000,"50,256","50,256",0.6151059
1469,"10,136",10000,"10,315","10,317",0.6151059
11053,"50,071",50000,"50,086","50,086",0.6151059
10858,"50,041",50000,"50,271","50,269",0.6151059
11048,"50,070",50000,"50,181","50,181",0.6151059
10893,"50,048",50000,"50,156","50,156",0.6151059
10729,"50,021",50000,"50,158","50,158",0.6151059
10895,"50,048",50000,"50,156","50,158",0.6151059
1493,"10,139",10000,"10,257","10,255",0.6151059
1671,"10,153",10000,"10,289","10,289",0.6151059
1494,"10,139",10000,"10,257","10,256",0.6151059
10905,"50,051",50000,"50,348","50,348",0.6151059
1628,"10,149",10000,"10,388","10,389",0.6151059
1627,"10,149",10000,"10,388","10,388",0.6151059
1495,"10,139",10000,"10,257","10,257",0.6151059
11001,"50,062",50000,"50,227","50,227",0.6151059
10999,"50,061",50000,"50,199","50,199",0.6151059
10993,"50,060",50000,"50,094","50,094",0.6151059
10967,"50,058",50000,"50,074","50,075",0.6151059
1416,"10,132",10000,"10,339","10,339",0.6151059
10727,"50,021",50000,"50,158","50,156",0.6151059
1085,"10,105",10000,"10,389","10,389",0.6151059
582,"10,054",10000,"10,258","10,258",0.6151059
10492,"40,246",40000,"40,098","40,100",0.6151059
11292,"50,117",50000,"50,105","50,105",0.6151059
11273,"50,110",50000,"50,269","50,271",0.6151059
10498,"40,247",40000,"40,309","40,309",0.6151059
2264,"10,210",10000,"10,314","10,314",0.6151059
2263,"10,210",10000,"10,314","10,313",0.6151059
11646,"50,170",50000,"50,091","50,091",0.6151059
11221,"50,102",50000,"50,144","50,144",0.6151059
11214,"50,100",50000,"50,114","50,115",0.6151059
11213,"50,100",50000,"50,114","50,114",0.6151059
11206,"50,098",50000,"50,166","50,166",0.6151059
11197,"50,095",50000,"50,170","50,170",0.6151059
10533,"40,255",40000,"40,029","40,027",0.6151059
10712,"50,018",50000,"50,088","50,088",0.6151059
10535,"40,255",40000,"40,029","40,029",0.6151059
2165,"10,199",10000,"10,247","10,246",0.6151059
10606,"40,275",40000,"40,584","40,585",0.6151059
11145,"50,090",50000,"50,177","50,177",0.6151059
2039,"10,185",10000,"10,284","10,284",0.6151059
2029,"10,184",10000,"10,246","10,247",0.6151059
2028,"10,184",10000,"10,246","10,246",0.6151059
10658,"50,002",50000,"50,164","50,165",0.6151059
11094,"50,081",50000,"50,117","50,117",0.6151059
463,"10,040",10000,"10,399","10,399",0.6151059
1408,"10,131",10000,"10,450","10,450",0.6151059
464,"10,040",10000,"10,399","10,400",0.6151059
2166,"10,199",10000,"10,247","10,247",0.6151059
10399,"40,213",40000,"40,167","40,169",0.6151059
10204,"40,154",40000,"40,316","40,318",0.6151059
3291,"20,086",20000,"20,216","20,217",0.6151059
9904,"40,056",40000,"40,097","40,097",0.6151059
207,"10,014",10000,"10,650","10,650",0.6151059
4495,"20,200",20000,"20,217","20,217",0.6151059
4494,"20,200",20000,"20,217","20,216",0.6151059
9969,"40,065",40000,"40,408","40,408",0.6151059
11888,"50,205",50000,"50,150","50,150",0.6151059
4415,"20,192",20000,"20,219","20,219",0.6151059
11896,"50,209",50000,"50,219","50,219",0.6151059
4413,"20,192",20000,"20,219","20,217",0.6151059
10008,"40,081",40000,"40,288","40,288",0.6151059
10009,"40,085",40000,"40,013","40,013",0.6151059
10019,"40,087",40000,"40,020","40,020",0.6151059
244,"10,018",10000,"10,400","10,400",0.6151059
10045,"40,098",40000,"40,070","40,070",0.6151059
10046,"40,099",40000,"40,322","40,322",0.6151059
3293,"20,086",20000,"20,216","20,219",0.6151059
211,"10,015",10000,"10,713","10,714",0.6151059
4412,"20,192",20000,"20,219","20,216",0.6151059
3290,"20,086",20000,"20,216","20,216",0.6151059
38,"10,003",10000,"10,412","10,412",0.6151059
11853,"50,199",50000,"50,075","50,074",0.6151059
11854,"50,199",50000,"50,075","50,075",0.6151059
9762,"40,021",40000,"40,277","40,277",0.6151059
39,"10,003",10000,"10,412","10,413",0.6151059
9718,"40,016",40000,"40,308","40,308",0.6151059
9803,"40,039",40000,"40,253","40,252",0.6151059
9717,"40,015",40000,"40,064","40,065",0.6151059
11863,"50,200",50000,"50,099","50,099",0.6151059
3276,"20,084",20000,"20,289","20,289",0.6151059
11870,"50,201",50000,"50,100","50,100",0.6151059
9850,"40,046",40000,"40,333","40,333",0.6151059
9700,"40,011",40000,"40,371","40,371",0.6151059
4497,"20,200",20000,"20,217","20,219",0.6151059
9699,"40,007",40000,"40,027","40,027",0.6151059
10073,"40,107",40000,"40,055","40,055",0.6151059
7935,"30,255",30000,"30,905","30,905",0.6151059
10159,"40,133",40000,"40,163","40,163",0.6151059
10144,"40,123",40000,"40,255","40,255",0.6151059
11782,"50,188",50000,"50,137","50,137",0.6151059
11969,"50,219",50000,"50,173","50,173",0.6151059
5119,"30,034",30000,"30,303","30,303",0.6151059
10198,"40,150",40000,"40,262","40,262",0.6151059
138,"10,009",10000,"10,484","10,484",0.6151059
10187,"40,141",40000,"40,050","40,050",0.6151059
10162,"40,137",40000,"40,043","40,042",0.6151059
11900,"50,210",50000,"50,165","50,165",0.6151059
8961,"30,336",30000,"30,978","30,978",0.6151059
10157,"40,130",40000,"40,264","40,264",0.6151059
5376,"30,054",30000,"30,678","30,678",0.6151059
243,"10,018",10000,"10,400","10,399",0.6151059
10138,"40,117",40000,"40,383","40,383",0.6151059
172,"10,012",10000,"10,256","10,255",0.6151059
174,"10,012",10000,"10,256","10,257",0.6151059
8165,"30,271",30000,"30,554","30,554",0.6151059
173,"10,012",10000,"10,256","10,256",0.6151059
10112,"40,114",40000,"40,096","40,096",0.6151059
5127,"30,035",30000,"30,526","30,526",0.6050548
5257,"30,045",30000,"30,652","30,652",0.6050548
9527,"30,384",30000,"30,932","30,932",0.6050548
8844,"30,324",30000,"30,611","30,611",0.6050548
8320,"30,283",30000,"30,664","30,664",0.6050548
9528,"30,384",30000,"30,932","30,933",0.6050548
7478,"30,221",30000,"30,842","30,842",0.6050548
7433,"30,216",30000,"30,575","30,575",0.6050548
6373,"30,133",30000,"30,756","30,756",0.6050548
9125,"30,349",30000,"30,186","30,186",0.6050548
4950,"30,021",30000,"30,544","30,544",0.6050548
4978,"30,023",30000,"31,001","31,001",0.6050548
5487,"30,064",30000,"30,461","30,461",0.6050548
8415,"30,290",30000,"30,709","30,709",0.6050548
6976,"30,177",30000,"30,402","30,402",0.6050548
5004,"30,025",30000,"30,641","30,641",0.6050548
6363,"30,132",30000,"30,356","30,356",0.6050548
6440,"30,138",30000,"30,314","30,314",0.6050548
6329,"30,130",30000,"30,749","30,749",0.6050548
9401,"30,373",30000,"31,043","31,043",0.6050548
7627,"30,231",30000,"30,419","30,419",0.6050548
5433,"30,059",30000,"30,591","30,591",0.6050548
8899,"30,330",30000,"30,817","30,817",0.6050548
5560,"30,070",30000,"30,907","30,907",0.6050548
11639,"50,168",50000,"50,378","50,377",0.6050548
6753,"30,160",30000,"30,476","30,476",0.6050548
4138,"20,168",20000,"20,363","20,363",0.6050548
4814,"30,009",30000,"30,491","30,490",0.6050548
7001,"30,180",30000,"30,283","30,283",0.6050548
8557,"30,302",30000,"30,233","31,089",0.6050548
633,"10,059",10000,"10,435","10,435",0.6050548
8520,"30,299",30000,"30,698","30,698",0.6050548
4883,"30,015",30000,"30,831","30,831",0.6050548
677,"10,066",10000,"10,520","10,521",0.6050548
10163,"40,137",40000,"40,043","40,043",0.6050548
4926,"30,019",30000,"30,868","30,868",0.6050548
700,"10,072",10000,"10,453","10,453",0.6050548
2527,"20,017",20000,"20,327","20,327",0.6050548
931,"10,092",10000,"10,521","10,521",0.6050548
4842,"30,011",30000,"30,746","30,746",0.6050548
6079,"30,110",30000,"30,200","30,200",0.6050548
8801,"30,320",30000,"30,350","30,350",0.6050548
5993,"30,103",30000,"31,023","31,023",0.6050548
27,"10,002",10000,"10,286","10,286",0.6050548
3549,"20,108",20000,"20,523","20,523",0.60357225
4489,"20,199",20000,"20,441","20,441",0.60357225
5869,"30,092",30000,"30,843","30,843",0.59932834
7411,"30,212",30000,"30,644","30,644",0.59932834
6413,"30,136",30000,"30,381","30,381",0.59932834
8850,"30,325",30000,"30,512","30,512",0.59932834
7946,"30,256",30000,"30,824","30,824",0.59932834
6239,"30,124",30000,"30,915","30,915",0.59932834
9003,"30,339",30000,"30,231","30,231",0.59932834
8705,"30,312",30000,"30,376","30,376",0.59932834
6093,"30,113",30000,"30,573","30,573",0.59932834
9533,"30,386",30000,"30,792","30,792",0.59932834
6856,"30,169",30000,"30,498","30,498",0.59932834
8476,"30,295",30000,"30,640","30,640",0.59932834
7880,"30,250",30000,"31,002","31,002",0.59932834
8953,"30,335",30000,"30,451","30,451",0.59932834
5898,"30,094",30000,"30,315","30,315",0.59932834
7975,"30,258",30000,"30,462","30,462",0.59932834
9472,"30,379",30000,"30,747","30,747",0.59932834
4780,"30,005",30000,"30,348","30,348",0.59932834
6074,"30,108",30000,"30,389","30,389",0.59932834
8312,"30,282",30000,"30,957","30,957",0.59932834
6402,"30,135",30000,"30,818","30,818",0.59932834
4807,"30,008",30000,"30,811","30,813",0.59932834
6135,"30,117",30000,"30,651","30,651",0.59932834
4805,"30,008",30000,"30,811","30,811",0.59932834
6073,"30,108",30000,"30,389","30,388",0.59932834
7726,"30,238",30000,"30,738","30,738",0.59932834
7727,"30,238",30000,"30,738","30,739",0.59932834
8341,"30,286",30000,"30,454","30,455",0.59932834
9141,"30,351",30000,"30,216","30,216",0.59932834
2188,"10,201",10000,"10,238","10,238",0.59385717
9799,"40,034",40000,"40,434","40,435",0.59385717
9798,"40,034",40000,"40,434","40,434",0.59385717
2353,"20,000",20000,"20,295","20,295",0.59385717
5288,"30,049",30000,"30,393","30,263",0.59385717
9800,"40,034",40000,"40,434","40,436",0.59385717
9801,"40,034",40000,"40,434","40,437",0.59385717
267,"10,021",10000,"10,112","10,112",0.59385717
11980,"50,222",50000,"50,244","50,244",0.59385717
4571,"20,205",20000,"20,100","20,100",0.59385717
8491,"30,297",30000,"30,266","30,262",0.59385717
728,"10,075",10000,"10,425","10,419",0.59306306
731,"10,075",10000,"10,425","10,422",0.59306306
5117,"30,034",30000,"30,303","30,301",0.59306306
4389,"20,190",20000,"20,454","20,456",0.59306306
4144,"20,169",20000,"20,079","20,078",0.59306306
4388,"20,190",20000,"20,454","20,455",0.59306306
7420,"30,215",30000,"30,955","30,953",0.59306306
11122,"50,085",50000,"50,306","50,306",0.59306306
7421,"30,215",30000,"30,955","30,954",0.59306306
730,"10,075",10000,"10,425","10,421",0.59306306
4776,"30,004",30000,"31,109","31,108",0.59306306
8980,"30,337",30000,"31,325","31,324",0.59306306
9094,"30,347",30000,"30,958","30,954",0.59306306
8631,"30,306",30000,"30,708","30,706",0.59306306
11101,"50,083",50000,"50,286","50,286",0.59306306
8455,"30,293",30000,"31,079","31,078",0.59306306
9093,"30,347",30000,"30,958","30,953",0.59306306
8454,"30,293",30000,"31,079","31,076",0.59306306
687,"10,068",10000,"10,678","10,678",0.59306306
729,"10,075",10000,"10,425","10,420",0.59306306
8807,"30,321",30000,"30,576","30,572",0.59306306
7244,"30,197",30000,"31,391","31,390",0.59306306
8919,"30,332",30000,"31,415","31,414",0.59306306
11303,"50,118",50000,"50,045","50,046",0.59306306
8856,"30,326",30000,"30,452","30,451",0.59306306
1116,"10,108",10000,"10,472","10,470",0.59306306
1115,"10,108",10000,"10,472","10,469",0.59306306
4578,"20,207",20000,"20,278","20,278",0.59306306
11460,"50,136",50000,"50,030","50,028",0.59306306
4575,"20,206",20000,"20,510","20,510",0.59306306
6632,"30,150",30000,"30,717","30,717",0.59306306
11442,"50,131",50000,"50,267","50,267",0.59306306
6631,"30,150",30000,"30,717","30,716",0.59306306
732,"10,075",10000,"10,425","10,424",0.59306306
4958,"30,022",30000,"30,676","30,675",0.59306306
11321,"50,120",50000,"50,044","50,046",0.59306306
4949,"30,021",30000,"30,544","30,543",0.59306306
4948,"30,021",30000,"30,544","30,542",0.59306306
941,"10,093",10000,"10,357","10,356",0.59306306
4525,"20,202",20000,"20,515","20,516",0.59306306
998,"10,098",10000,"10,621","10,622",0.59306306
8808,"30,321",30000,"30,576","30,573",0.59306306
4579,"20,207",20000,"20,278","20,279",0.59306306
8857,"30,326",30000,"30,452","30,452",0.59306306
860,"10,085",10000,"10,669","10,669",0.59306306
11265,"50,109",50000,"50,254","50,254",0.59306306
